user_name,appearances,games,wins,losses,points,titles,finals,win_pct,ppg
LuckyHarm,1,2,2,0,279.58,1,1,100.0,139.8
rezzu,2,5,4,1,735.42,1,1,80.0,147.1
sparky1335,2,5,3,2,654.12,1,1,60.0,130.8
SearingShadow,4,9,5,4,1493.3899999999999,1,2,55.6,165.9
SimonSmith,3,6,3,3,1130.72,0,1,50.0,188.5
CowboyKitten,1,2,1,1,281.06,0,0,50.0,140.5
diogenesthecat,3,7,3,4,1247.69,0,1,42.9,178.2
xPsyD,4,9,3,6,1339.47,0,1,33.3,148.8
Greebo775,2,3,1,2,388.79999999999995,0,0,33.3,129.6
Downinthebend,1,1,0,1,170.69,0,0,0.0,170.7
vougz,1,1,0,1,110.08,0,0,0.0,110.1
